accepter_id,requester_id,time
599,0,2015-08-01 15:50:13
597,0,2015-10-27 08:14:07
262,0,2016-05-17 21:01:46
87,0,2015-01-03 01:44:00
413,0,2014-06-17 00:00:47
70,0,2014-10-31 09:22:58
40,0,2014-05-08 17:59:14
433,0,2015-01-04 08:06:00
350,0,2015-07-06 22:57:54
536,0,2016-04-28 16:00:22
249,0,2014-09-03 15:53:40
464,0,2014-07-09 07:31:15
151,0,2014-01-05 05:15:03
766,0,2015-06-25 11:22:08
672,0,2015-09-27 00:16:30
706,0,2016-07-23 07:38:35
801,0,2017-01-10 01:21:02
520,0,2014-01-05 02:14:54
173,0,2016-11-12 07:13:55
340,0,2015-03-11 08:10:05
354,0,2015-03-25 07:21:57
679,0,2015-11-23 01:16:05
668,0,2015-04-04 14:05:59
913,0,2017-01-28 07:02:25
288,0,2014-09-21 21:51:27
118,0,2014-11-24 03:29:01
559,0,2015-07-01 04:20:50
853,0,2016-03-14 05:57:17
182,1,2015-03-07 19:27:17
273,1,2016-12-03 20:12:25
993,1,2014-07-02 07:44:37
188,1,2015-08-22 12:42:19
149,1,2017-11-30 13:16:27
115,1,2017-10-21 14:35:05
537,1,2015-09-22 11:03:35
239,1,2015-10-04 19:55:25
197,1,2017-03-01 16:42:10
305,1,2014-10-31 05:04:33
442,1,2014-03-03 18:55:37
231,1,2017-04-26 05:22:05
855,1,2014-10-20 19:00:38
611,1,2017-12-11 05:11:40
59,1,2017-08-03 08:19:03
642,1,2014-10-12 04:12:46
179,1,2016-06-05 04:05:50
27,1,2016-10-06 16:08:09
831,2,2017-01-18 07:48:09
94,2,2014-07-06 00:34:56
925,2,2017-08-27 19:03:30
99,2,2017-09-16 02:15:52
804,2,2017-08-04 01:11:38
795,3,2014-03-24 05:28:07
539,3,2016-08-30 15:09:22
96,3,2016-04-08 06:55:44
340,3,2014-07-05 18:27:41
256,3,2015-06-15 07:33:23
980,3,2014-10-31 15:41:57
611,3,2016-02-25 07:04:03
197,3,2015-01-05 09:33:14
754,3,2014-10-20 21:13:19
964,3,2015-12-22 00:03:58
152,3,2017-09-25 17:18:01
653,3,2017-11-18 10:34:33
644,3,2017-04-22 06:03:01
580,4,2014-10-19 21:02:19
650,4,2015-06-14 02:41:54
435,4,2014-08-13 11:42:53
606,4,2016-08-17 10:51:27
517,4,2016-05-20 11:09:39
309,4,2014-01-20 00:36:50
468,4,2015-02-04 13:56:40
519,4,2015-05-18 12:33:25
337,4,2014-11-26 22:59:10
883,4,2015-11-29 15:12:59
548,4,2017-11-04 23:38:11
780,4,2014-07-11 08:17:07
792,4,2016-08-15 22:56:08
986,4,2014-11-16 17:12:32
185,4,2015-07-21 16:52:32
