requester_id,sent_to_id,time
1,35,2014-04-10 23:53:09
1,69,2015-05-01 17:54:07
1,124,2014-11-12 15:27:13
1,324,2014-05-23 22:32:53
1,413,2014-10-21 21:56:41
1,423,2014-05-22 22:15:31
1,477,2015-11-03 10:47:40
1,486,2015-04-07 12:17:30
1,489,2015-07-24 01:32:35
1,506,2015-04-13 07:25:43
1,529,2015-01-28 10:11:42
1,573,2014-04-23 08:00:17
1,649,2014-04-13 01:33:31
1,696,2015-03-03 13:40:47
1,746,2014-04-19 16:35:58
1,939,2015-08-08 20:26:25
1,512,2014-09-05 03:19:11
1,771,2014-07-03 11:28:28
1,177,2015-10-07 06:55:40
1,507,2014-11-22 23:23:02
1,706,2015-05-19 09:46:13
1,330,2014-11-11 08:01:40
1,459,2014-09-04 13:06:31
1,799,2014-04-02 09:04:49
1,174,2014-11-26 23:13:23
1,305,2014-05-10 16:46:15
1,473,2014-02-14 14:11:33
1,711,2015-11-25 12:15:22
1,142,2014-02-12 16:38:24
2,28,2015-05-23 00:26:30
2,38,2015-12-02 22:37:15
2,143,2015-01-05 14:38:30
2,177,2014-07-06 07:14:30
2,337,2015-11-14 08:13:22
2,689,2014-09-07 01:45:27
2,867,2015-01-26 20:01:42
2,884,2014-07-14 07:07:18
2,587,2014-10-25 03:50:46
2,299,2015-11-04 14:52:51
2,188,2015-12-29 14:18:16
2,128,2014-04-05 16:10:40
2,926,2015-04-20 03:46:39
3,266,2014-03-01 23:03:26
3,314,2014-07-13 11:46:30
3,559,2014-04-14 00:02:40
3,582,2014-10-06 13:49:26
3,623,2015-09-27 14:55:18
3,625,2014-08-27 15:35:53
3,810,2014-09-23 10:36:38
3,889,2014-07-22 01:29:25
3,962,2014-05-14 19:41:20
3,207,2015-12-08 15:12:41
3,26,2014-11-08 20:13:18
3,7,2014-12-25 06:02:54
3,604,2014-03-25 02:57:52
3,927,2015-11-06 16:52:57
3,219,2014-09-21 01:42:06
4,141,2014-06-03 14:51:23
4,340,2015-12-15 13:43:39
4,372,2015-07-27 09:36:06
4,445,2014-07-08 19:15:43
